Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2023,NBA,1,30,Kobe Brown,Missouri,6,52,17,8,2,.500,.375,,8.7,2.8,1.3,0.3,0.1,.106,-3.4,0.0
2023,NBA,2,48,Jordan Miller,Miami (FL),2,7,5,0,0,.667,1.000,,3.5,2.5,0.0,0.0,0.0,.196,-1.2,0.0
2022,NBA,2,43,Moussa Diabate,Michigan,28,240,80,65,8,.525,.500,.682,8.6,2.9,2.3,0.3,0.7,.133,-2.0,0.0
2021,NBA,1,25,Quentin Grimes (↳NYK),Houston,128,3179,1163,338,206,.448,.385,.771,24.8,9.1,2.6,1.6,6.7,.101,-0.2,1.4
2020,NBA,2,57,Reggie Perry (↳BRK),Mississippi State,36,398,170,120,26,.459,.189,.679,11.1,4.7,3.3,0.7,0.4,.048,-5.5,-0.3
2019,NBA,2,48,Terance Mann,Florida State,275,5939,2175,1023,565,.498,.380,.783,21.6,7.9,3.7,2.1,14.5,.117,-0.5,2.2
2019,NBA,2,56,Jaylen Hands (↳BRK),UCLA,,,,,,,,,,,,,,,,
2018,NBA,1,12,Miles Bridges (↳CHO),Michigan State,292,8493,3910,1646,660,.473,.346,.810,29.1,13.4,5.6,2.3,16.1,.091,-0.2,3.9
2018,NBA,1,13,Jerome Robinson,Boston College,114,1609,514,210,131,.362,.310,.721,14.1,4.5,1.8,1.1,-0.1,-0.003,-4.7,-1.1
2016,NBA,1,25,Brice Johnson,UNC,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-0.6,0.0
2016,NBA,2,33,Cheick Diallo (↳NOP),Kansas,183,2186,958,759,78,.596,.286,.774,11.9,5.2,4.1,0.4,6.3,.139,-1.4,0.3
2014,NBA,1,28,C.J. Wilcox,Washington,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
2013,NBA,1,25,Reggie Bullock,UNC,517,12191,3949,1385,635,.424,.384,.827,23.6,7.6,2.7,1.2,20.8,.082,-1.2,2.6
2012,NBA,2,53,Furkan Aldemir (↳HOU),,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-3.6,-0.2
2011,NBA,2,37,Trey Thompkins,Georgia,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1
2011,NBA,2,47,Travis Leslie,Georgia,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.3,0.0
2010,NBA,1,8,Al-Farouq Aminu,Wake Forest,711,17698,5350,4280,879,.420,.332,.746,24.9,7.5,6.0,1.2,27.6,.075,-0.6,6.5
2010,NBA,2,54,Willie Warren,Oklahoma,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-2.7,0.0
2009,NBA,1,1,Blake Griffin,Oklahoma,765,24384,14513,6109,3055,.493,.328,.696,31.9,19.0,8.0,4.0,81.1,.160,3.3,32.8
2008,NBA,1,7,Eric Gordon,Indiana,829,26551,13270,1968,2335,.430,.371,.811,32.0,16.0,2.4,2.8,39.0,.070,-0.7,8.8
2008,NBA,2,35,DeAndre Jordan,Texas A&M,1020,26792,9133,10345,967,.675,.154,.475,26.3,9.0,10.1,0.9,95.8,.172,1.2,22.0
2007,NBA,1,14,Al Thornton,Florida State,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.2
2007,NBA,2,45,Jared Jordan,Marist College,,,,,,,,,,,,,,,,
2006,NBA,2,34,Paul Davis,Michigan State,82,702,217,158,32,.402,.000,.732,8.6,2.6,1.9,0.4,0.5,.035,-4.2,-0.4
2006,NBA,2,52,Guillermo Díaz,Miami (FL),6,18,5,2,1,.250,.000,.600,3.0,0.8,0.3,0.2,0.0,.033,-2.9,0.0
2005,NBA,1,12,Yaroslav Korolev,,34,168,39,16,13,.283,.250,.625,4.9,1.1,0.5,0.4,-0.1,-0.024,-5.2,-0.1
2005,NBA,2,32,Daniel Ewing,Duke,127,1683,431,158,174,.389,.295,.780,13.3,3.4,1.2,1.4,0.8,.024,-3.0,-0.4
2004,NBA,1,4,Shaun Livingston,,833,17188,5231,1989,2483,.486,.178,.794,20.6,6.3,2.4,3.0,29.9,.084,-1.0,4.3
2004,NBA,2,33,Lionel Chalmers,Xavier,36,433,111,31,51,.336,.245,.625,12.0,3.1,0.9,1.4,-0.2,-0.025,-5.3,-0.4
2003,NBA,1,6,Chris Kaman,Central Michigan University,735,19642,8208,5582,921,.489,.042,.743,26.7,11.2,7.6,1.3,24.6,.060,-1.9,0.4
2003,NBA,2,34,Sofoklis Schortsanitis,,,,,,,,,,,,,,,,,
2002,NBA,1,8,Chris Wilcox,Maryland,628,12474,5150,3076,455,.541,.000,.643,19.9,8.2,4.9,0.7,26.9,.103,-1.6,1.2
2002,NBA,1,12,Melvin Ely,Fresno State,375,6005,1992,1215,261,.460,.000,.625,16.0,5.3,3.2,0.7,4.0,.032,-4.0,-3.1
2002,NBA,2,41,Mario Kasun (↳ORL),,73,569,198,188,11,.467,.000,.636,7.8,2.7,2.6,0.2,0.8,.069,-7.0,-0.7
2001,NBA,1,2,Tyson Chandler (↳CHI),,1160,31617,9509,10467,967,.597,.000,.644,27.3,8.2,9.0,0.8,102.1,.155,0.1,16.9
